chain,protocol,source,source_port,destination,destination_port,action
INPUT,tcp,26.43.247.250,56789,196.61.225.36,56130,ACCEPT
INPUT,udp,119.227.177.19,47743,236.16.67.223,47341,DROP
INPUT,tcp,185.227.100.8,55640,115.178.249.255,37867,ACCEPT
OUTPUT,tcp,16.112.181.117,60228,247.119.210.109,17613,ACCEPT
INPUT,udp,252.15.64.78,13440,134.59.249.138,3071,DROP
OUTPUT,tcp,138.115.111.136,11219,163.102.24.152,5054,ACCEPT
INPUT,udp,89.72.40.182,64413,71.11.185.189,51300,ACCEPT
OUTPUT,tcp,249.198.205.240,6215,110.254.114.153,45133,ACCEPT
FORWARD,udp,223.62.47.27,52088,207.229.186.220,52006,DROP
FORWARD,tcp,205.44.190.242,15251,89.156.123.228,10334,DROP
INPUT,tcp,134.116.153.78,33392,27.238.81.15,42957,DROP
FORWARD,tcp,174.229.41.171,44400,108.228.246.60,61798,DROP
FORWARD,udp,153.154.128.242,62365,107.190.217.204,58612,ACCEPT
INPUT,tcp,224.244.233.32,59113,57.179.227.164,35154,DROP
FORWARD,udp,54.57.156.112,17732,58.225.15.247,26461,DROP
OUTPUT,udp,99.92.172.5,60384,96.164.147.40,1164,ACCEPT
OUTPUT,tcp,14.18.140.127,26196,20.129.108.16,9431,DROP
FORWARD,tcp,184.46.0.82,53229,251.217.31.183,17229,ACCEPT
OUTPUT,tcp,19.208.79.24,20934,111.35.13.116,6969,ACCEPT
INPUT,tcp,61.181.238.92,39838,116.178.163.162,36113,ACCEPT
OUTPUT,tcp,206.43.246.175,33631,121.144.105.151,55236,ACCEPT
INPUT,udp,165.221.251.23,54196,196.90.248.196,57067,DROP
OUTPUT,tcp,37.132.192.21,50571,14.85.0.30,54999,DROP
OUTPUT,tcp,67.167.187.47,28245,15.34.177.42,41968,ACCEPT
INPUT,udp,201.179.234.12,41829,145.229.203.238,60067,ACCEPT
INPUT,udp,83.224.7.0,31506,41.181.134.30,51436,DROP
